line_id,corporation,name,stops_total,stops_inside,stops_outside,stops_unknown,eligible,reason
2731,西鉄バス,西鉄バス・Ｗ１・普通・天神－都高－西公園ＲＰ・福岡タワー行,24,24,0,0,yes,ok
2732,西鉄バス,西鉄バス・Ｗ１・普通・都高－ペイペイドーム・福岡タワー行,7,7,0,0,yes,ok
2737,西鉄バス,西鉄バス・５９・普通・小笹・柏原営行,21,21,0,0,yes,ok
2738,西鉄バス,西鉄バス・５４－１・普通・小笹－山荘通－平尾・天神行,34,34,0,0,yes,ok
275,西鉄バス,西鉄バス・２０１・普通・次郎丸－六本松－国体道路・天神・博多駅行,33,33,0,0,yes,ok
2754,西鉄バス,西鉄バス・７２・普通・原町－門司駅－門司港駅－レトロ・田野浦行,14,0,14,0,no,has_outside_stops
2756,西鉄バス,西鉄バス・１５０・普通・引野口－沖田－大平・筑鉄香月行,14,0,14,0,no,has_outside_stops
2758,西鉄バス,西鉄バス・４１・普通・馬場－引野口－黒崎－平野一・ジアウトレット北九州行,45,0,45,0,no,has_outside_stops
2759,西鉄バス,西鉄バス・４０・普通・香月営行,37,0,37,0,no,has_outside_stops
2762,西鉄バス,西鉄バス・４０・普通・中央町－平野一市立八幡病院・ＪＲ八幡駅行,36,0,36,0,no,has_outside_stops
2777,西鉄バス,西鉄バス・９８・普通・マリナ・能古渡船場行,13,13,0,0,yes,ok
2789,西鉄バス,西鉄バス・２０６・普通・西陵高・野方行,28,28,0,0,yes,ok
2790,西鉄バス,西鉄バス・２０６・普通・原－六本松－国体道路・天神行,11,11,0,0,yes,ok
2793,西鉄バス,西鉄バス・２・普通・田隈新町－病院構内乗入・歯科大病院行,16,16,0,0,yes,ok
2794,西鉄バス,西鉄バス・２・普通・藤崎－西新－昭和通・天神行,4,4,0,0,yes,ok
2795,西鉄バス,西鉄バス・２・普通・南金武・金武車庫行,19,19,0,0,yes,ok
2797,西鉄バス,西鉄バス・２・普通・次郎丸－四箇田団地－南金武・金武車庫行,6,6,0,0,yes,ok
2801,西鉄バス,西鉄バス・３０６・普通・次郎丸・金武車庫行,6,6,0,0,yes,ok
2806,西鉄バス,西鉄バス・２・普通・田隈新町－藤崎－西新－昭和通・天神行,20,20,0,0,yes,ok
2811,西鉄バス,西鉄バス・１９・普通・中央埠頭行,20,20,0,0,yes,ok
2818,西鉄バス,西鉄バス・１４０・普通・福大病院行,16,16,0,0,yes,ok
2819,西鉄バス,西鉄バス・２６Ａ・普通・福間・光陽台六行,36,11,25,0,no,has_outside_stops
2821,西鉄バス,西鉄バス・急行・昭和通・天神行,17,8,9,0,no,"has_outside_stops,name_blacklisted"
2824,西鉄バス,西鉄バス・急行・産大南－高美台－ＩＫＥＡ－新宮中央駅・新宮中央駅東ＩＫＥＡ行,17,8,9,0,no,"has_outside_stops,name_blacklisted"
2838,西鉄バス,西鉄バス・２７・普通・製鉄飛幡門行,32,0,32,0,no,has_outside_stops
2851,西鉄バス,西鉄バス・８０・普通・中央埠頭・クルーズＣ行,12,12,0,0,yes,ok
2852,西鉄バス,西鉄バス・１５１・普通・皿山－自動車免許試験場・柏原営行,27,27,0,0,yes,ok
2860,西鉄バス,西鉄バス・３２・普通・川瀬－福島・八女営行,28,0,28,0,no,has_outside_stops
2862,西鉄バス,西鉄バス・ＢＲＴ・快速・天神－国際会議場前マリンメッセ前・中央埠頭行,11,11,0,0,no,name_blacklisted
2873,西鉄バス,西鉄バス・１７・普通・六本松－薬院・博多駅行,21,21,0,0,yes,ok
2875,西鉄バス,西鉄バス・３・普通・西新－早良高・脇山小前行,22,22,0,0,yes,ok
2879,西鉄バス,西鉄バス・３・普通・荒江－野芥－早良高・脇山小前行,36,36,0,0,yes,ok
2882,西鉄バス,西鉄バス・２７・普通・製鉄飛幡門行,31,0,31,0,no,has_outside_stops
2887,西鉄バス,西鉄バス・２９Ｎ・普通・名島ランプ－城浜団地－南公園・ＩＣ照葉行,2,2,0,0,yes,ok
2906,西鉄バス,西鉄バス・５・普通・新生・佐谷行,21,1,20,0,no,has_outside_stops
2911,西鉄バス,西鉄バス・４５・普通・昇町－井尻駅－諸岡－山王・博多駅行,17,11,6,0,no,has_outside_stops
2912,西鉄バス,西鉄バス・４５・普通・諸岡－山王・博多駅行,18,18,0,0,yes,ok
2913,西鉄バス,西鉄バス・４４・普通・諸岡－山王・博多駅行,17,17,0,0,yes,ok
2914,西鉄バス,西鉄バス・４５・普通・女学院－井尻駅－諸岡－山王・博多駅行,19,5,14,0,no,has_outside_stops
2919,西鉄バス,西鉄バス・４６・普通・竹下－博多駅－キャナル－天神・天神行,5,5,0,0,yes,ok
2920,西鉄バス,西鉄バス・４６・普通・宮竹・福岡徳洲会病院行,14,12,2,0,no,has_outside_stops
2928,西鉄バス,西鉄バス・６６・普通・百年橋・博多駅行,11,11,0,0,yes,ok
2929,西鉄バス,西鉄バス・６６・普通・中尾二・国立福岡病院行,22,22,0,0,yes,ok
293,西鉄バス,西鉄バス・１９・普通・六本松－薬院－博多駅・中央埠頭行,15,15,0,0,yes,ok
2945,西鉄バス,西鉄バス・５・普通・Ｔジョイ方面・ゆめタウン方面行,6,0,6,0,no,has_outside_stops
2962,西鉄バス,西鉄バス・１－５・普通・中村－拾六町団地・野方行,8,8,0,0,yes,ok
2967,西鉄バス,西鉄バス・１－４・普通・外環状－西体育館－橋本駅・野方行,16,16,0,0,yes,ok
2972,西鉄バス,西鉄バス・２－３・普通・西鉄二日市駅行,13,0,13,0,no,has_outside_stops
2988,西鉄バス,西鉄バス・２５・普通・千本杉・西鉄久留米行,16,0,16,0,no,has_outside_stops
2991,西鉄バス,西鉄バス・３７・普通・月隈団地－福岡空港前－空港通・博多駅行,27,16,11,0,no,"has_outside_stops,name_blacklisted"
2994,西鉄バス,西鉄バス・２０４・普通・橋本－原－六本松－国体道路・天神・博多駅行,6,6,0,0,yes,ok
2995,西鉄バス,西鉄バス・５０６・普通・生松台団地・野方行,26,26,0,0,yes,ok
2998,西鉄バス,西鉄バス・２１４・普通・原－六本松－薬院駅・博多駅行,26,26,0,0,yes,ok
3002,西鉄バス,西鉄バス・３・普通・椎原行,20,20,0,0,yes,ok
3004,西鉄バス,西鉄バス・１４０・普通・茶山－六本松－美術館－明治通り・天神行,4,4,0,0,yes,ok
3008,西鉄バス,西鉄バス・無番・普通・野芥・西油山Ｈ行,6,6,0,0,yes,ok
3017,西鉄バス,西鉄バス・普通・長丘高宮循環バス・西鉄高宮駅東口行,23,23,0,0,yes,ok
3028,西鉄バス,西鉄バス・普通・西鉄高宮駅東口行,19,13,6,0,no,has_outside_stops
3029,西鉄バス,西鉄バス・普通・西鉄高宮駅東口行,4,4,0,0,yes,ok
3031,西鉄バス,西鉄バス・６・普通・西町・西鉄久留米行,11,0,11,0,no,has_outside_stops
3033,西鉄バス,西鉄バス・２・普通・通町－神田脇・三池中町行,7,0,7,0,no,has_outside_stops
3039,西鉄バス,西鉄バス・１－６・普通・生松台団地・野方行,24,24,0,0,yes,ok
3049,西鉄バス,西鉄バス・８・普通・従業員入口側－運行・イオンモール大牟田行,3,0,3,0,no,has_outside_stops
3053,西鉄バス,西鉄バス・２０・普通・千本杉・西鉄久留米行,33,0,33,0,no,has_outside_stops
3059,西鉄バス,西鉄バス・５５・普通・西鉄久留米－市役所前・ＪＲ久留米駅行,37,0,37,0,no,has_outside_stops
3068,西鉄バス,西鉄バス・９１・普通・中井口－戸畑駅－中央二－西本町・西鉄黒崎ＢＣ行,55,0,55,0,no,has_outside_stops
3070,西鉄バス,西鉄バス・普通・長丘高宮循環バス・下長尾行,10,10,0,0,yes,ok
3075,西鉄バス,西鉄バス・２３・普通・大蔵・高美台行,33,32,1,0,no,has_outside_stops
3080,西鉄バス,西鉄バス・２１Ｂ・普通・奈多－雁の巣－ＩＣ・天神行,11,11,0,0,yes,ok
3101,西鉄バス,西鉄バス・２５・普通・庄山行,22,0,22,0,no,has_outside_stops
3102,西鉄バス,西鉄バス・５５－１・普通・通町－大牟田駅－市立病院－動物園前・西鉄大牟田営行,34,0,34,0,no,has_outside_stops
3104,西鉄バス,西鉄バス・７７・普通・トリアス久山行,22,17,5,0,no,has_outside_stops
3105,西鉄バス,西鉄バス・２７０・普通・トリアス久山行,27,24,3,0,no,has_outside_stops
3108,西鉄バス,西鉄バス・１－１・普通・西鉄二日市駅行,18,0,18,0,no,has_outside_stops
3112,西鉄バス,西鉄バス・２・普通・天神三行,3,3,0,0,yes,ok
3113,西鉄バス,西鉄バス・１５２・普通・野間四角－清水町－渡辺通一・天神行,2,2,0,0,yes,ok
3117,西鉄バス,西鉄バス・５５・普通・松本池・桧原営行,23,23,0,0,yes,ok
3118,西鉄バス,西鉄バス・５５・普通・長住六行,25,25,0,0,yes,ok
312,西鉄バス,西鉄バス・２００・普通・国体道路－六本松－飯倉－野芥・さわら台団地行,16,16,0,0,yes,ok
3122,西鉄バス,西鉄バス・２２Ｎ・普通・香椎照葉Ｃマークス前行,8,8,0,0,yes,ok
3123,西鉄バス,西鉄バス・４７－１・特快・大橋－老司－片縄・那珂川営行,9,9,0,0,yes,ok
3130,西鉄バス,西鉄バス・２７・普通・桂川駅－嘉穂総合高・西鉄大隈行,35,0,35,0,no,has_outside_stops
3131,西鉄バス,西鉄バス・２７・普通・碓井桂川役場－桂川駅・飯塚ＢＴ行,41,0,41,0,no,has_outside_stops
3132,西鉄バス,西鉄バス・８・普通・八丁牟田－水田天満宮恋木神社前・羽犬塚駅西口行,34,0,34,0,no,has_outside_stops
3133,西鉄バス,西鉄バス・１２・普通・漆生・西鉄大隈行,33,0,33,0,no,has_outside_stops
3134,西鉄バス,西鉄バス・１２・普通・飯塚－新飯塚・西鉄飯塚営行,12,0,12,0,no,has_outside_stops
3136,西鉄バス,西鉄バス・１２・普通・山野－稲築才田・西鉄大隈行,22,0,22,0,no,has_outside_stops
3137,西鉄バス,西鉄バス・２３・普通・善導寺－田主丸駅・田主丸そよ風ホール行,36,0,36,0,no,has_outside_stops
3142,西鉄バス,西鉄バス・５２・普通・松本池・桧原営行,16,16,0,0,yes,ok
3145,西鉄バス,西鉄バス・１・普通・小竹－頴田支所・赤池工業団地行,27,0,27,0,no,has_outside_stops
3146,西鉄バス,西鉄バス・２２・普通・北野・今村天主堂行,30,0,30,0,no,has_outside_stops
3147,西鉄バス,西鉄バス・２１・普通・今村天主堂行,18,0,18,0,no,has_outside_stops
3150,西鉄バス,西鉄バス・普通・太宰府高行,11,0,11,0,no,has_outside_stops
317,西鉄バス,西鉄バス・２００・快速・六本松－国体道路・天神・博多駅行,17,17,0,0,no,name_blacklisted
3170,西鉄バス,西鉄バス・２０・普通・吉井営行,16,0,16,0,no,has_outside_stops
3171,西鉄バス,西鉄バス・２０・普通・西鉄久留米－荘島・ＪＲ久留米駅行,20,0,20,0,no,has_outside_stops
3172,西鉄バス,西鉄バス・２０－２・普通・千本杉－善導寺・ローソン常持店前行,22,0,22,0,no,has_outside_stops
3191,西鉄バス,西鉄バス・９６・普通・西新・藤崎行,32,32,0,0,yes,ok
3194,西鉄バス,西鉄バス・急行・大里ＲＰ－都高富野小・小倉駅ＢＣ行,17,0,17,0,no,"has_outside_stops,name_blacklisted"
3209,西鉄バス,西鉄バス・４２・普通・西鉄大橋駅行,14,5,9,0,no,has_outside_stops
3210,西鉄バス,西鉄バス・４２・普通・西鉄大橋駅行,11,5,6,0,no,has_outside_stops
3215,西鉄バス,西鉄バス・４０・普通・戸畑区役所－浅生通－戸畑駅・製鉄飛幡門行,29,0,29,0,no,has_outside_stops
3217,西鉄バス,西鉄バス・９２・普通・中原－魚町・砂津行,12,0,12,0,no,has_outside_stops
3218,西鉄バス,西鉄バス・７・普通・七条－下到津－竪町－魚町・砂津行,14,0,14,0,no,has_outside_stops
323,西鉄バス,西鉄バス・普通・早良営行,4,4,0,0,yes,ok
3231,西鉄バス,西鉄バス・２・普通・野中・西鉄久留米行,12,0,12,0,no,has_outside_stops
3245,西鉄バス,西鉄バス・９２・普通・営団入口－富野小・大谷池行,28,0,28,0,no,has_outside_stops
3248,西鉄バス,西鉄バス・特快・連節バス・砂津行,10,0,10,0,no,has_outside_stops
3250,西鉄バス,西鉄バス・７・普通・西鉄筑豊・直方行,18,0,18,0,no,has_outside_stops
3253,西鉄バス,西鉄バス・５１・普通・明治通・天神行,31,31,0,0,yes,ok
3254,西鉄バス,西鉄バス・５１・普通・明治通－天神－県庁・九大病院行,32,32,0,0,yes,ok
3255,西鉄バス,西鉄バス・５１・普通・柏原営行,21,21,0,0,yes,ok
3258,西鉄バス,西鉄バス・５１・普通・明治通－天神－県庁・吉塚営行,12,12,0,0,yes,ok
3267,西鉄バス,西鉄バス・特急・飯塚－堀池・天神行,17,0,17,0,no,"has_outside_stops,name_blacklisted"
3268,西鉄バス,西鉄バス・特急・福岡県立大学行,19,0,19,0,no,"has_outside_stops,name_blacklisted"
327,西鉄バス,西鉄バス・１７・普通・城南－渡辺通一・博多駅行,28,28,0,0,yes,ok
3270,西鉄バス,西鉄バス・特急・飯塚－新飯塚駅－烏尾トンネル・西鉄後藤寺行,13,0,13,0,no,"has_outside_stops,name_blacklisted"
3279,西鉄バス,西鉄バス・３・普通・明治坑行,37,0,37,0,no,has_outside_stops
3281,西鉄バス,西鉄バス・３・普通・愛宕団地・飯塚オートレース場行,33,0,33,0,no,has_outside_stops
3283,西鉄バス,西鉄バス・３・普通・イオン穂波－潤野・明星寺団地行,9,0,9,0,no,has_outside_stops
3291,西鉄バス,西鉄バス・２・普通・赤坂橋行,18,0,18,0,no,has_outside_stops
3292,西鉄バス,西鉄バス・２・普通・坂の下行,14,0,14,0,no,has_outside_stops
3293,西鉄バス,西鉄バス・２・普通・伊川温泉・新飯塚駅行,14,0,14,0,no,has_outside_stops
3297,西鉄バス,西鉄バス・２・普通・伊岐須－飯塚－新飯塚・西鉄飯塚営行,15,0,15,0,no,has_outside_stops
3299,西鉄バス,西鉄バス・２・普通・飯塚－九工大・西相田行,18,0,18,0,no,has_outside_stops
330,西鉄バス,西鉄バス・１７・普通・早良営行,23,23,0,0,yes,ok
3300,西鉄バス,西鉄バス・２・普通・飯塚－新飯塚・西鉄飯塚営行,15,0,15,0,no,has_outside_stops
3301,西鉄バス,西鉄バス・２・普通・西相田行,11,0,11,0,no,has_outside_stops
3303,西鉄バス,西鉄バス・２・普通・飯塚－九工大・西相田行,18,0,18,0,no,has_outside_stops
3304,西鉄バス,西鉄バス・６８・普通・西鉄筑豊・ＪＲ遠賀川駅行,44,0,44,0,no,has_outside_stops
3306,西鉄バス,西鉄バス・５５・普通・スピナラソリエ高見店行,10,0,10,0,no,has_outside_stops
3307,西鉄バス,西鉄バス・７７・普通・産業医大－折尾駅－則松－下上津役・香月営行,29,0,29,0,no,has_outside_stops
3308,西鉄バス,西鉄バス・７７・普通・産業医大－折尾駅－則松－下上津役・小嶺車庫行,27,0,27,0,no,has_outside_stops
3309,西鉄バス,西鉄バス・７７・普通・香月営行,15,0,15,0,no,has_outside_stops
331,西鉄バス,西鉄バス・１７・普通・六本松－薬院・博多駅行,26,26,0,0,yes,ok
3310,西鉄バス,西鉄バス・７７・普通・折尾駅西口－則松－三ケ森－下上津役・小嶺車庫行,11,0,11,0,no,has_outside_stops
3315,西鉄バス,西鉄バス・８０・普通・本城西団地・学研都市ひびきの行,19,0,19,0,no,has_outside_stops
3316,西鉄バス,西鉄バス・８２・普通・八幡西郵便局－萩原小・引野方面行,35,0,35,0,no,has_outside_stops
3317,西鉄バス,西鉄バス・８０・普通・本城西団地・学研都市ひびきの行,38,0,38,0,no,has_outside_stops
3324,西鉄バス,西鉄バス・７・普通・大橋駅行,9,9,0,0,yes,ok
3325,西鉄バス,西鉄バス・４－１・普通・宇美営行,20,0,20,0,no,has_outside_stops
3335,西鉄バス,西鉄バス・２・普通・牧山－沖台通り・ＪＲ戸畑駅行,19,0,19,0,no,has_outside_stops
3343,西鉄バス,西鉄バス・１・普通・上貫－貫小－津田第二・下曽根駅南口行,12,0,12,0,no,has_outside_stops
3344,西鉄バス,西鉄バス・１・普通・弥生が丘営行,20,0,20,0,no,has_outside_stops
3350,西鉄バス,西鉄バス・３・普通・上横代－サンリブ・安部山公園行,6,0,6,0,no,has_outside_stops
3351,西鉄バス,西鉄バス・３・普通・湯川中前・安部山公園行,12,0,12,0,no,has_outside_stops
3352,西鉄バス,西鉄バス・３・普通・上横代－サンリブ－安部山公園・城野駅行,12,0,12,0,no,has_outside_stops
