ekispert_station_code,name,lat,lon
673931,枝光駅前／西鉄バス,33.875538,130.815855
673933,枝光本町・ジ・アウトレット北九州前／西鉄バス,33.870186,130.816994
673924,枝光四丁目／西鉄バス,33.87921,130.817347
675960,江辻／西鉄バス,33.621505,130.481688
674280,江戸屋敷／西鉄バス,33.286692,130.513508
674297,ＮＴＴ筑後営業所前／西鉄バス,33.206578,130.502913
675858,榎田町／西鉄バス,33.593161,130.437249
677243,恵比須町／西鉄バス,33.566916,130.688597
676196,海老津／西鉄バス,33.839931,130.625221
676192,海老津駅入口／西鉄バス,33.838547,130.623619
676291,海老津台入口／西鉄バス,33.848786,130.617427
673725,恵里／西鉄バス,33.844997,130.871752
678190,延命公園・動物園前／西鉄バス,33.019283,130.447661
673600,延命寺臨海公園前／西鉄バス,33.889722,130.909213
673542,円楽寺／西鉄バス,33.904283,130.97983
676644,オークタウン入口／西鉄バス,33.664583,130.453619
677556,オークホール前／西鉄バス,33.569486,130.850825
675575,老松神社前／西鉄バス,33.527803,130.428069
674473,追分／西鉄バス,33.310157,130.56875
677725,王子団地／西鉄バス,33.760833,130.739438
677722,王子宮／西鉄バス,33.759669,130.74453
676394,桜美台入口／西鉄バス,33.794192,130.581916
676463,王丸／西鉄バス,33.780666,130.547847
676378,大井／西鉄バス,33.802014,130.528683
677991,大池公民館前／西鉄バス,33.555136,130.405561
677980,大池二丁目第１／西鉄バス,33.556791,130.409347
677981,大池二丁目第２／西鉄バス,33.556902,130.407986
676358,大石下／西鉄バス,33.801113,130.479849
674399,大石町／西鉄バス,33.313449,130.497185
678162,大石町南／西鉄バス,33.308827,130.497655
676379,大井台入口／西鉄バス,33.797558,130.530697
676376,大井橋／西鉄バス,33.812219,130.525633
675855,大井町／西鉄バス,33.600643,130.445946
674086,大浦一丁目／西鉄バス,33.868813,130.719664
674087,大浦三丁目／西鉄バス,33.868555,130.712858
674682,大川市役所／西鉄バス,33.202764,130.385688
674615,大川樟風高校前／西鉄バス,33.206521,130.3789
675959,大川農協前／西鉄バス,33.620499,130.476163
673556,大川橋(北九州市)／西鉄バス,33.910091,130.941897
674617,大川橋(大川市)／西鉄バス,33.213216,130.371414
676638,大神神社前／西鉄バス,33.683072,130.446855
675437,大河原／西鉄バス,33.555452,130.318113
675402,大城戸／西鉄バス,33.524469,130.398305
673737,大木橋／西鉄バス,33.853747,130.877005
674503,扇島／西鉄バス,33.341133,130.744516
676869,扇橋／西鉄バス,33.608108,130.462335
675689,扇町／西鉄バス,33.574722,130.433627
673466,大久保／西鉄バス,33.899233,130.954053
673348,大久保越／西鉄バス,33.950477,130.979894
677371,大隈(粕屋町)／西鉄バス,33.614655,130.490655
677385,大隈(嘉麻市)／西鉄バス,33.543563,130.746678
673833,大蔵(北九州市・東側)／西鉄バス,33.860055,130.825722
678106,大蔵(北九州市)／西鉄バス,33.860155,130.824486
673836,大蔵三丁目／西鉄バス,33.854949,130.819085
673835,大蔵小学校前／西鉄バス,33.856016,130.822361
673944,大蔵中学校下／西鉄バス,33.862133,130.823049
675309,大楠(福岡市)／西鉄バス,33.568122,130.418141
674605,大坂井／西鉄バス,33.180486,130.393697
677033,大佐野／西鉄バス,33.49773,130.497967
674435,大島(八女市)／西鉄バス,33.214486,130.562141
675031,大島(久留米市)／西鉄バス,33.353505,130.589477
678153,大島交流館／西鉄バス,33.898941,130.439149
678152,大島ターミナル／西鉄バス,33.893855,130.437358
676627,大蔵(新宮町)／西鉄バス,33.691841,130.450169
676582,大岳／西鉄バス,33.649482,130.338946
676584,大岳松原／西鉄バス,33.653375,130.331382
675776,大谷(宇美町)／西鉄バス,33.557847,130.515572
673637,大谷池／西鉄バス,33.876811,130.910791
674222,大谷一丁目／西鉄バス,33.859185,130.807858
673877,大谷入口／西鉄バス,33.882669,130.833472
674192,大谷球場／西鉄バス,33.860786,130.809302
673937,大谷通り／西鉄バス,33.880266,130.832317
673623,大田町／西鉄バス,33.876783,130.893027
676532,大塚団地前／西鉄バス,33.708624,130.500641
674120,大辻／西鉄バス,33.803499,130.725022
674242,大辻東町第二団地／西鉄バス,33.800447,130.731913
676816,大坪／西鉄バス,33.55171,130.349283
677397,大坪団地／西鉄バス,33.579744,130.726982
673391,大積／西鉄バス,33.924627,130.989103
673396,大積沖田口／西鉄バス,33.92875,131.002303
673394,大積公民館入口／西鉄バス,33.926083,130.997569
673392,大積小学校前／西鉄バス,33.925058,130.992616
673393,大積西町／西鉄バス,33.925796,130.995594
673395,大積東口／西鉄バス,33.92748,130.999277
673797,大手町／西鉄バス,33.873547,130.87341
673607,大手町西／西鉄バス,33.872361,130.870408
675229,大手門三丁目／西鉄バス,33.586683,130.385136
676854,大手門・平和台陸上競技場入口／西鉄バス,33.585807,130.384972
677065,大土居／西鉄バス,33.514327,130.456181
677061,大土居公民館前／西鉄バス,33.508819,130.465063
676544,大名／西鉄バス,33.676047,130.439311
675688,大野北小学校前／西鉄バス,33.542139,130.4771
674730,大野島小学校前／西鉄バス,33.192577,130.354788
674731,大野島農協前／西鉄バス,33.195541,130.350697
677013,大野城駅西口／西鉄バス,33.522342,130.481455
675724,大野城市役所／西鉄バス,33.533261,130.481502
677017,大野南小学校前／西鉄バス,33.499217,130.4802
677415,大橋／西鉄バス,33.561224,130.766394
675560,大橋一丁目／西鉄バス,33.555291,130.43103
675648,大橋団地前／西鉄バス,33.554741,130.432917
673892,大橋通り／西鉄バス,33.899425,130.80835
