line_id,corporation,sample_name,sample_pairs_count,stop_count
243,西鉄バス,西鉄バス・２－３・普通・西新－室住団地－橋本・野方行,6,15
2430,西鉄バス,西鉄バス・Ｗ４・普通・天神・呉服町行,27,48
2432,西鉄バス,西鉄バス・６２０・普通・片縄－野多目ランプ－都高－明治通・天神行,3,39
2439,西鉄バス,西鉄バス・１５・普通・ＪＲ久留米駅行,45,44
2454,西鉄バス,西鉄バス・快速・引野口－下上津役－馬場山・星ケ丘五行,18,24
2467,西鉄バス,西鉄バス・Ｗ１・普通・天神・大橋駅行,11,25
2472,西鉄バス,西鉄バス・Ｗ３・普通・天神－清水町・大橋駅行,10,18
2483,西鉄バス,西鉄バス・８・普通・イオンモール大牟田行,2,3
2484,西鉄バス,西鉄バス・８・普通・霧丘三行,4,7
2488,西鉄バス,西鉄バス・２０・普通・六本松－薬院－天神－石城町・西鉄貝塚駅行,32,39
2489,西鉄バス,西鉄バス・２０・普通・天神行,15,17
2517,西鉄バス,西鉄バス・２・普通・室住団地－藤崎－西新－昭和通・天神行,16,27
2518,西鉄バス,西鉄バス・２・普通・藤崎－西新－昭和通・天神行,6,18
2525,西鉄バス,西鉄バス・３０６・普通・次郎丸・藤崎・四箇田団地行,1,6
2526,西鉄バス,西鉄バス・３０６・普通・ドーム－田隈新町・藤崎・四箇田団地行,1,7
2529,西鉄バス,西鉄バス・３０６・普通・福岡タワー・藤崎行,6,9
2533,西鉄バス,西鉄バス・１９・普通・四箇田団地行,10,17
2534,西鉄バス,西鉄バス・１９・普通・博多駅－薬院－次郎丸・四箇田団地行,3,6
2539,西鉄バス,西鉄バス・２００・普通・早良営行,7,14
2547,西鉄バス,西鉄バス・３・普通・西油山Ｈ行,15,29
2560,西鉄バス,西鉄バス・急行・イオン福津－都高－昭和通・天神行,22,24
2564,西鉄バス,西鉄バス・急行・産大南口－森林都市・赤間営行,18,24
2567,西鉄バス,西鉄バス・急行・産大南口－森林都市・広陵台中央公園前行,6,7
2570,西鉄バス,西鉄バス・急行・産大南口－森林都市・青葉台入口行,17,30
2571,西鉄バス,西鉄バス・急行・昭和通・天神行,3,15
2580,西鉄バス,西鉄バス・２９・普通・ＩＣ照葉行,39,36
2586,西鉄バス,西鉄バス・１・普通・勝馬行,18,15
2587,西鉄バス,西鉄バス・２２Ｎ・普通・ＩＣ照葉行,16,21
2605,西鉄バス,西鉄バス・１・普通・ＩＣ照葉行,9,10
2631,西鉄バス,西鉄バス・６６・普通・新入・直方行,58,47
265,西鉄バス,西鉄バス・２－３・普通・室住団地行,5,8
2654,西鉄バス,西鉄バス・１・普通・橋本駅－野方－橋本－新室見・姪浜駅南口行,20,26
266,西鉄バス,西鉄バス・２０１・普通・六本松－国体道路・天神・博多駅行,5,13
2666,西鉄バス,西鉄バス・２３・普通・三萩野－小倉駅ＢＣ・砂津行,40,38
2667,西鉄バス,西鉄バス・２６・普通・歯大前－三萩野－小倉駅ＢＣ・砂津行,6,10
2674,西鉄バス,西鉄バス・１０・普通・吉田団地・恒見営行,45,36
2675,西鉄バス,西鉄バス・１４・普通・下吉田団地第一行,4,4
2676,西鉄バス,西鉄バス・１５・普通・沼団地－沼小前・四季彩の丘第５行,11,15
2678,西鉄バス,西鉄バス・１１０・普通・中吉田－吉田団地・恒見営行,19,32
268,西鉄バス,西鉄バス・２０１・普通・四箇田団地行,7,15
2683,西鉄バス,西鉄バス・６７・普通・筑鉄中間駅行,29,28
2697,西鉄バス,西鉄バス・５４・普通・スピナラソリエ高見店行,14,11
27,西鉄バス,西鉄バス・４０・普通・弥生小前・板付七行,9,14
2704,西鉄バス,西鉄バス・７２・普通・門司駅－原町－魚町・青葉車庫行,24,35
2705,西鉄バス,西鉄バス・６・普通・北方－徳力団地南・中谷行,32,46
2726,西鉄バス,西鉄バス・１５１・普通・野間－皿山自動車免許試験場・桧原営行,3,15
2727,西鉄バス,西鉄バス・１５２・普通・松本池・桧原営行,3,4
2729,西鉄バス,西鉄バス・Ｗ１・普通・都高－ペイペイドーム・福岡タワー行,2,7
2731,西鉄バス,西鉄バス・Ｗ１・普通・天神－都高－西公園ＲＰ・福岡タワー行,12,24
2732,西鉄バス,西鉄バス・Ｗ１・普通・都高－ペイペイドーム・福岡タワー行,2,7
2737,西鉄バス,西鉄バス・５９・普通・小笹・柏原営行,13,21
2738,西鉄バス,西鉄バス・５４－１・普通・小笹－山荘通－平尾・天神行,28,34
275,西鉄バス,西鉄バス・２０１・普通・次郎丸－六本松－国体道路・天神・博多駅行,28,33
2754,西鉄バス,西鉄バス・７２・普通・原町－門司駅－門司港駅－レトロ・田野浦行,12,14
2756,西鉄バス,西鉄バス・１５０・普通・引野口－沖田－大平・筑鉄香月行,7,14
2758,西鉄バス,西鉄バス・４１・普通・馬場－引野口－黒崎－平野一・ジアウトレット北九州行,44,45
2759,西鉄バス,西鉄バス・４０・普通・香月営行,29,37
2762,西鉄バス,西鉄バス・４０・普通・中央町－平野一市立八幡病院・ＪＲ八幡駅行,43,36
2777,西鉄バス,西鉄バス・９８・普通・マリナ・能古渡船場行,8,13
2789,西鉄バス,西鉄バス・２０６・普通・西陵高・野方行,14,28
2790,西鉄バス,西鉄バス・２０６・普通・原－六本松－国体道路・天神行,4,11
2793,西鉄バス,西鉄バス・２・普通・田隈新町－病院構内乗入・歯科大病院行,13,16
2794,西鉄バス,西鉄バス・２・普通・藤崎－西新－昭和通・天神行,1,4
2795,西鉄バス,西鉄バス・２・普通・南金武・金武車庫行,13,19
2797,西鉄バス,西鉄バス・２・普通・次郎丸－四箇田団地－南金武・金武車庫行,1,6
2801,西鉄バス,西鉄バス・３０６・普通・次郎丸・金武車庫行,1,6
2806,西鉄バス,西鉄バス・２・普通・田隈新町－藤崎－西新－昭和通・天神行,16,20
2811,西鉄バス,西鉄バス・１９・普通・中央埠頭行,19,20
2818,西鉄バス,西鉄バス・１４０・普通・福大病院行,13,16
2819,西鉄バス,西鉄バス・２６Ａ・普通・福間・光陽台六行,49,36
2821,西鉄バス,西鉄バス・急行・昭和通・天神行,29,17
2824,西鉄バス,西鉄バス・急行・産大南－高美台－ＩＫＥＡ－新宮中央駅・新宮中央駅東ＩＫＥＡ行,4,17
